originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
LEATHER MASK,CuCrimson Hide Visage,CuCrimson Hide Visage (LEATHER MASK),Unlock: crafted | Location: Leather Worker | Source: Settlement | Cost: 1 Bone,Base Game; Community Edition 2.0,Leather Worker,Settlement,charm,head,charm,0,"Charm, Passive, Survival","CuCrimson Hide Visage Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Leather Worker.pdf; References - PDF/Community Edition 2.0/KDM - Leather Worker (CE 2.0).pdf,verified
LEATHER SKIRT,CuCrimson Hide Skirt,CuCrimson Hide Skirt (LEATHER SKIRT),Unlock: crafted | Location: Leather Worker | Source: Settlement | Cost: 1 Bone; 1 Hide,Base Game; Community Edition 2.0,Leather Worker,Settlement,legs,waist,armor,0,"Defensive, Party, WoundCare",CuCrimson Hide Skirt Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"CuCrimson Hide Skirt Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Leather Worker.pdf; References - PDF/Community Edition 2.0/KDM - Leather Worker (CE 2.0).pdf,verified
LION BEAST KATAR,Pale Beast Katar,Pale Beast Katar (LION BEAST KATAR),"Unlock: crafted, quarryDiscovery, promoOrEvent | Location: Catarium | Source: White Lion | Event: promo/vignette/settlement/hunt event table | Cost: 1 Pale Lion Hide; 1 Pale Lion Sinew",Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium; Vignettes of Death,Catarium; Giga-Catarium,White Lion,weapon,weapon,katar,1,"Quick, Predator, Precise","Pale Beast Katar Feint — Cost 0 Attack. [Damage: 2; Break: 4; Status: Apply Marked] Deal 2 damage. If targeting a fragile weak point, deal +2 break damage. Apply Marked.","Pale Beast Katar Carve — Cost 1 Attack. [Damage: 4; Break: 3] Deal 4 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If the target is below half HP, gain +2 damage.","Pale Beast Katar Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses katar weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Base Game/KDM - Catarium.pdf; References - PDF/Community Edition 2.0/KDM - Catarium (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Catarium (Fen's Dagger Emporium).pdf; References - PDF/Vignettes of Death/KDM - Giga-Catarium (White Gigalion).pdf,verified
LION HEADDRESS,Pale Headdress,Pale Headdress (LION HEADDRESS),"Unlock: crafted, quarryDiscovery, promoOrEvent | Location: Catarium | Source: White Lion | Event: promo/vignette/settlement/hunt event table | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium; Vignettes of Death,Catarium; Giga-Catarium,White Lion,head,head,armor,0,"Defensive, Party, WoundCare, Predator",Pale Headdress Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Pale Headdress Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Catarium.pdf; References - PDF/Community Edition 2.0/KDM - Catarium (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Catarium (Fen's Dagger Emporium).pdf; References - PDF/Vignettes of Death/KDM - Giga-Catarium (White Gigalion).pdf,verified
LION SKIN CLOAK,Pale Skin Cloak,Pale Skin Cloak (LION SKIN CLOAK),"Unlock: crafted, quarryDiscovery, promoOrEvent | Location: Catarium | Source: White Lion | Event: promo/vignette/settlement/hunt event table | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium; Vignettes of Death,Catarium; Giga-Catarium,White Lion,body,body,armor,0,"Defensive, Party, WoundCare, Predator",Pale Skin Cloak Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Pale Skin Cloak Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Catarium.pdf; References - PDF/Community Edition 2.0/KDM - Catarium (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Catarium (Fen's Dagger Emporium).pdf; References - PDF/Vignettes of Death/KDM - Giga-Catarium (White Gigalion).pdf,verified
LION SLAYER CAPE,Pale Slayer Cape,Pale Slayer Cape (LION SLAYER CAPE),"Unlock: crafted, quarryDiscovery, promoOrEvent | Location: Giga-Catarium | Source: White Lion | Event: promo/vignette/settlement/hunt event table | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Vignettes of Death,Giga-Catarium,White Lion,weapon,head,grandWeapon,2,"Heavy, Brutal, Guardbreaker, Predator","Pale Slayer Cape Hew — Cost 2 Attack. [Damage: 12; Break: 7] Deal 12 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Pale Slayer Cape Split — Cost 1 Attack. [Damage: 10; Status: Bleed 2] Deal 10 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Pale Slayer Cape Overhead — Cost 2 Attack. [Damage: 15; Exhaust] Deal 15 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,,Uses grandWeapon weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Vignettes of Death/KDM - Giga-Catarium (White Gigalion).pdf,verified
LION'S ROAR (HUNT PHASE),Pale's Roar (Hunt Phase),Pale's Roar (Hunt Phase) (LION'S ROAR (HUNT PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Pale s Roar Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Pale s Roar Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
LION'S ROAR (SHOWDOWN PHASE),Pale's Roar (Showdown Phase),Pale's Roar (Showdown Phase) (LION'S ROAR (SHOWDOWN PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Pale s Roar Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Pale s Roar Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
LUCKY CHARM,Gutter Lucky Charm,Gutter Lucky Charm (LUCKY CHARM),Unlock: crafted | Location: Organ Grinder | Source: Settlement | Cost: 1 Bone,Base Game,Organ Grinder,Settlement,charm,charm,charm,0,"Charm, Passive, Survival","Gutter Lucky Charm Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Organ Grinder.pdf,verified
MAN MASK,Man Visage,Man Visage (MAN MASK),"Unlock: crafted, quarryDiscovery | Location: Mask Maker | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Mask Maker,Spidicules,charm,head,charm,0,"Charm, Passive, Survival, Web","Man Visage Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Web,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Mask Maker.pdf; References - PDF/Community Edition 2.0/KDM - Mask Maker (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Mask Maker (SIP).pdf,verified
METRONOME,Kindled Metronome,Kindled Metronome (METRONOME),"Unlock: crafted, quarryDiscovery | Location: Blood Crafter | Source: Rose Knight | Cost: 1 Rose Petal; 1 Blood Thorn; 1 Rose Sinew",Fen's Fan Expansions / Rose Knight,Blood Crafter,Rose Knight,weapon,weapon,bow,2,"Ranged, Marking, Precise","Kindled Metronome Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Kindled Metronome Shot — Cost 1 Attack. [Damage: 5; Break: 5] Deal 5 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Kindled Metronome Pinning Volley — Cost 2 Attack. [Damage: 4 x2; Status: Snared 1] Deal 4 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Rose Knight/KDM - Blood Crafter.pdf,verified
MONSTER GREASE,Bone-Lit Monster Grease,Bone-Lit Monster Grease (MONSTER GREASE),Unlock: crafted | Location: Organ Grinder | Source: Settlement | Cost: 1 Bone,Base Game,Organ Grinder,Settlement,tool,tool,consumable,0,"Tool, Survival, Retreat","Bone Lit Monster Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.",Retreat,Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Organ Grinder.pdf,verified
MONSTER TOOTH NECKLACE,Ashen Monster Tooth Necklace,Ashen Monster Tooth Necklace (MONSTER TOOTH NECKLACE),Unlock: crafted | Location: Organ Grinder | Source: Settlement | Cost: 1 Bone,Base Game,Organ Grinder,Settlement,weapon,weapon,fistAndTooth,1,"Counter, Survival, Wound","Ashen Monster Tooth Close Fist — Cost 0 Attack. [Damage: 4] Deal 4 damage. If this survivor has 1 HP or is wounded, deal +3.","Ashen Monster Tooth Bite Back — Cost 1 Attack. [Damage: 5; Status: Bleed 1] Deal 5 damage. If the monster targeted this survivor last turn, deal +4 and apply Bleed 1.",Ashen Monster Tooth Clinch — Cost 1 Skill. [Block: 2] Gain 2 block and 1 Survival. The next Counter survival action deals +3.,,Adds a risky close brawler for wounded/counter builds card package; weapon proficiency improves its weak-point and harvest role.,,Uses fistAndTooth weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Organ Grinder.pdf,verified
MUSK BOMB,Redwake Musk Bomb,Redwake Musk Bomb (MUSK BOMB),"Unlock: crafted, quarryDiscovery | Location: Barber Surgeon | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Barber Surgeon,Spidicules,tool,tool,consumable,0,"Tool, Survival, Retreat, Web","Redwake Musk Bomb Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.","Retreat, Web",Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Barber Surgeon.pdf; References - PDF/Community Edition 2.0/KDM - Barber Surgeon (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Barber Surgeon (SIP).pdf,verified
NIGHTMARE QUIVER,Mourning Nightmare Quiver,Mourning Nightmare Quiver (NIGHTMARE QUIVER),"Unlock: crafted, quarryDiscovery | Location: Dark Catarium | Source: White Lion | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Fen's Fan Expansions / Black Lion,Dark Catarium,White Lion,weapon,weapon,bow,1,"Ranged, Marking, Precise, Predator","Mourning Nightmare Quiver Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Mourning Nightmare Quiver Shot — Cost 1 Attack. [Damage: 4; Break: 5] Deal 4 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Mourning Nightmare Quiver Pinning Volley — Cost 2 Attack. [Damage: 3 x2; Status: Snared 1] Deal 3 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Black Lion/KDM - Dark Catarium.pdf,verified
NUCLEAR FLUTE (HUNT PHASE),Threaded Nuclear Flute (Hunt Phase),Threaded Nuclear Flute (Hunt Phase) (NUCLEAR FLUTE (HUNT PHASE)),"Unlock: crafted, rareHarvestOrEvent | Location: Hunting Hall | Event: promo/vignette/settlement/hunt event table | Cost: 1 Bone; 1 Sinew; 1 Organ",Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,instrument,0,"Support, Party, Panic",Threaded Nuclear Flute Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Threaded Nuclear Flute Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: its source quarry.","Panic, Party, Support",Uses instrument weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
NUCLEAR FLUTE (SHOWDOWN PHASE),Mourning Nuclear Flute (Showdown Phase),Mourning Nuclear Flute (Showdown Phase) (NUCLEAR FLUTE (SHOWDOWN PHASE)),"Unlock: crafted, rareHarvestOrEvent | Location: Hunting Hall | Event: promo/vignette/settlement/hunt event table | Cost: 1 Bone; 1 Sinew; 1 Organ",Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,instrument,0,"Support, Party, Panic",Mourning Nuclear Flute Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Mourning Nuclear Flute Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: its source quarry.","Panic, Party, Support",Uses instrument weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
NUCLEAR KNIFE,Grave Nuclear Knife,Grave Nuclear Knife (NUCLEAR KNIFE),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Dragon Armory | Source: Dragon King | Event: promo/vignette/settlement/hunt event table | Cost: 1 Drake Scale; 1 Fire Gland; 1 Imperial Horn",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,weapon,weapon,dagger,1,"Quick, Precise, Harvest, Fire","Grave Nuclear Knife Feint — Cost 0 Attack. [Damage: 5; Break: 5; Status: Apply Burn 2] Deal 5 damage. If targeting a fragile weak point, deal +2 break damage. Apply Burn 2.","Grave Nuclear Knife Carve — Cost 1 Attack. [Damage: 7; Break: 4] Deal 7 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Grave Nuclear Knife Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile burning organ weak point improves harvest quality odds.,"Fire, Harvest",Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
NUCLEAR SCYTHE,Ashen Nuclear Scythe,Ashen Nuclear Scythe (NUCLEAR SCYTHE),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Dragon Armory | Source: Dragon King | Event: promo/vignette/settlement/hunt event table | Cost: 1 Drake Scale; 1 Fire Gland; 1 Imperial Horn",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,weapon,weapon,scythe,2,"Panic, Strange, Harvest, Fire","Ashen Nuclear Scythe Reap — Cost 1 Attack. [Damage: 9; Break: 7; Status: Panic +1] Deal 9 damage. Against Organ/Wing/Strange weak points, +3 break damage. Add 1 Panic to discard.","Ashen Nuclear Scythe Bleeding Arc — Cost 1 Attack. [Damage: 8; Status: Bleed 2/3] Deal 8 damage to the monster and apply Bleed 2. If Bleed is already present, apply Bleed 3 instead.","Ashen Nuclear Scythe Harvest Moon — Cost 2 Attack. [Damage: 12; Break: 7; Exhaust] Deal 12 damage. If this breaks an organ or wing weak point, roll harvest quality twice and keep the better result. Exhaust.",,"Control Reach: once per combat, failed-break risk is reduced against burning organ weak points.","Fire, Harvest, Panic, Strange",Uses scythe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
OXIDIZED BEACON SHIELD,Oxidized Beacon Guard,Oxidized Beacon Guard (OXIDIZED BEACON SHIELD),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone; 1 Hide,Base Game,Exhausted Lantern Hoard,Settlement,offhand,offhand,shield,1,"Defensive, Counter, Party",Oxidized Beacon Guard Raise — Cost 1 Skill. [Block: 8] Gain 8 block. Another party member gains 3 block before the next monster attack.,"Oxidized Beacon Guard Bash — Cost 1 Attack. [Damage: current block, cap 20] Deal damage equal to your current block, up to 20. Then lose half your block, rounded down.","Oxidized Beacon Guard Interpose — Cost 0 Skill. [Exhaust] Choose another survivor. The next time they would take damage this round, reduce it by 3. Exhaust.",,Shield Discipline: shield cards gain +2 block. Block-conversion damage is capped at 20.,Party,Uses shield weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
OXIDIZED BEAST KATAR,Bone-Lit Oxidized Beast Katar,Bone-Lit Oxidized Beast Katar (OXIDIZED BEAST KATAR),"Unlock: crafted, quarryDiscovery, promoOrEvent | Location: Giga-Catarium | Source: White Lion | Event: promo/vignette/settlement/hunt event table | Cost: 1 Pale Lion Hide; 1 Pale Lion Sinew",Vignettes of Death,Giga-Catarium,White Lion,weapon,weapon,katar,1,"Quick, Predator, Precise","Bone Lit Oxidized Feint — Cost 0 Attack. [Damage: 2; Break: 4; Status: Apply Marked] Deal 2 damage. If targeting a fragile weak point, deal +2 break damage. Apply Marked.","Bone Lit Oxidized Carve — Cost 1 Attack. [Damage: 4; Break: 3] Deal 4 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If the target is below half HP, gain +2 damage.","Bone Lit Oxidized Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses katar weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Vignettes of Death/KDM - Giga-Catarium (White Gigalion).pdf,verified
